College Name,Type,Address,City ,ZIP code,Website ,Fips County,Longitude,Latitude
Appalachian College of Pharmacy,2,1060 Dragon Road,Oakwood,24631,www.acp.edu,51027,-82.006195,37.211629
Averett University,2,420 W Main St,Danville,24541,https://www.averett.edu,51590,-79.413203,36.577287
Averett University-Non-Traditional Programs,2,420 W Main St,Danville,24541,https://gps.averett.edu,51590,-79.413203,36.577287
Blue Ridge Community College,4,1 College Lane,Weyers Cave,24486-0080,https://www.brcc.edu,51015,-78.937471,38.279075
Bluefield College,2,3000 College Avenue,Bluefield,24605,www.bluefield.edu,51185,-81.246233,37.244557
Bridgewater College,2,402 E College St,Bridgewater,22812-1599,https://www.bridgewater.edu/about-us,51165,-78.969007,38.378484
Central Virginia Community College,4,3506 Wards Rd,Lynchburg,24502-2498,www.centralvirginia.edu,51680,-79.184238,37.358809
Christendom College,2,134 Christendom Drive,Front Royal,22630,www.christendom.edu,,-78.1468,38.95245
Christopher Newport University,1,1 Avenue of the Arts,Newport News,23606-3072,cnu.edu/,51700,-76.494364,37.062495
College of William and Mary,1,200 Richmond Road,Williamsburg,23187-8795,www.wm.edu,51830,-76.708214,37.269489
Dabney S Lancaster Community College,4,1000 Dabney Drive,Clifton Forge,24422-1000,www.dslcc.edu,51005,-79.852536,37.812275
Danville Community College,4,1008 S Main St,Danville,24541-4004,www.dcc.vccs.edu,51590,-79.408803,36.565286
Eastern Mennonite University,2,1200 Park Rd,Harrisonburg,22802-2462,https://emu.edu,51660,-78.880326,38.471134
Eastern Shore Community College,4,29300 Lankford Hwy,Melfa,23410,www.es.vccs.edu,51001,-75.750791,37.640453
Eastern Virginia Medical School,1,700w. Olney,Norfolk,23507,www.evms.edu,51710,-76.300694,36.861232
Edward Via College of Osteopathic Medicine,2,2265 Kraft Dr,Blacksburg,24060,www.vcom.edu,51121,-80.406018,37.199659
Emory & Henry College,2,30461 Garnand Drive,Emory,24327-0947,www.ehc.edu,51191,-81.829142,36.772857
Ferrum College,2,215 Ferrum Mountain Road,Ferrum,24088-9000,www.ferrum.edu,51067,-80.021639,36.926912
George Mason University,1,4400 University Dr,Fairfax,22030-4444,https://www2.gmu.edu/,51059,-77.307428,38.829976
Germanna Community College,4,2130 Germanna Hwy,Locust Grove,22508-2102,www.germanna.edu,51137,-77.78012,38.375532
Hampden-Sydney College,2,College Road,Hampden-Sydney,23943-0128,www.hsc.edu,51147,-78.464216,37.240615
Hampton University,2,200 William R. Harvey Way,Hampton,23668-0099,www.hamptonu.edu,51650,-76.339161,37.019944
Hollins University,2,7916 Williamson Rd NW,Roanoke,24020,www.hollins.edu,51161,-79.943277,37.354201
J Sargeant Reynolds Community College,4,1651 East Parham Road,Richmond,23228-2327,www.reynolds.edu,51087,-77.473918,37.636837
James Madison University,1,800 South Main Street,Harrisonburg,22807,www.jmu.edu/,51660,-78.870484,38.436311
John Tyler Community College,4,13101 Jefferson Davis Hwy,Chester,23831-5316,https://jtcc.edu,51041,-77.407919,37.346254
Liberty University,2,1971 University Blvd,Lynchburg,24515,www.liberty.edu,51680,-79.18222,37.350232
Longwood University,1,201 High St,Farmville,23909,www.longwood.edu,51147,-78.39575,37.301137
Lord Fairfax Community College,4,173 Skirmisher Lane,Middletown,22645,https://www.lfcc.edu,51069,-78.267336,39.036001
Mary Baldwin University,2,318 Prospect Street,Staunton,24401,https://www.marybaldwin.edu,51790,-79.069273,38.153884
